REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_MINAFR,2022,22.5
RE1,CA_MINAFR,2022,33.37
RE1,NE_MINAFR,2022,57.4
RE1,OR_MINAFR,2022,39.87
RE1,SE_MINAFR,2022,0.52
RE1,SO_MINAFR,2022,193.98
RE1,AN_MINAFR,2023,22.5
RE1,CA_MINAFR,2023,33.37
RE1,NE_MINAFR,2023,57.4
RE1,OR_MINAFR,2023,39.87
RE1,SE_MINAFR,2023,0.52
RE1,SO_MINAFR,2023,193.98
RE1,AN_MINAFR,2024,22.5
RE1,CA_MINAFR,2024,33.37
RE1,NE_MINAFR,2024,57.4
RE1,OR_MINAFR,2024,39.87
RE1,SE_MINAFR,2024,0.52
RE1,SO_MINAFR,2024,193.98
RE1,AN_MINAFR,2025,22.5
RE1,CA_MINAFR,2025,33.37
RE1,NE_MINAFR,2025,57.4
RE1,OR_MINAFR,2025,39.87
RE1,SE_MINAFR,2025,0.52
RE1,SO_MINAFR,2025,193.98
RE1,AN_MINAFR,2026,22.5
RE1,CA_MINAFR,2026,33.37
RE1,NE_MINAFR,2026,57.4
RE1,OR_MINAFR,2026,39.87
RE1,SE_MINAFR,2026,0.52
RE1,SO_MINAFR,2026,193.98
RE1,AN_MINAFR,2027,22.5
RE1,CA_MINAFR,2027,33.37
RE1,NE_MINAFR,2027,57.4
RE1,OR_MINAFR,2027,39.87
RE1,SE_MINAFR,2027,0.52
RE1,SO_MINAFR,2027,193.98
RE1,AN_MINAFR,2028,22.5
RE1,CA_MINAFR,2028,33.37
RE1,NE_MINAFR,2028,57.4
RE1,OR_MINAFR,2028,39.87
RE1,SE_MINAFR,2028,0.52
RE1,SO_MINAFR,2028,193.98
RE1,AN_MINAFR,2029,22.5
RE1,CA_MINAFR,2029,33.37
RE1,NE_MINAFR,2029,57.4
RE1,OR_MINAFR,2029,39.87
RE1,SE_MINAFR,2029,0.52
RE1,SO_MINAFR,2029,193.98
RE1,AN_MINAFR,2030,22.5
